RIGHT;0;0;916;3;360;161;161;189;3;true;true;true;false;86;88;95;26;UP;UP;UP;UP;1293;220;4;false;
RIGHT;0;0;920;3;360;162;162;189;3;true;true;true;false;87;89;96;26;UP;UP;UP;UP;1293;220;4;false;
RIGHT;0;0;924;3;360;163;163;189;3;true;true;true;false;87;91;96;26;UP;UP;UP;UP;1293;220;4;false;
RIGHT;0;0;936;3;360;164;164;189;3;true;true;true;false;88;92;97;26;UP;UP;UP;UP;1293;220;4;true;
RIGHT;0;0;937;3;360;165;165;189;3;true;true;true;false;90;94;99;26;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
RIGHT;0;0;938;3;360;166;166;189;3;true;true;true;false;91;95;100;26;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
RIGHT;0;0;939;3;360;167;167;189;3;true;true;true;false;93;97;102;26;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
RIGHT;0;0;940;3;360;168;168;189;3;true;true;true;false;94;98;103;26;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
RIGHT;0;0;941;3;360;169;169;189;3;true;true;true;false;96;100;105;26;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
RIGHT;0;0;942;3;360;170;170;189;3;true;true;true;false;97;101;105;26;LEFT;LEFT;RIGHT;LEFT;1293;220;4;false;
RIGHT;0;0;943;3;360;171;171;189;3;true;true;true;false;99;103;105;26;LEFT;LEFT;RIGHT;LEFT;1293;220;4;false;
RIGHT;0;0;944;3;360;172;172;189;3;true;true;true;false;100;104;104;26;LEFT;LEFT;RIGHT;LEFT;1293;220;4;false;
RIGHT;0;0;945;3;360;173;173;189;3;true;true;true;false;102;106;104;26;LEFT;LEFT;RIGHT;LEFT;1293;220;4;false;
RIGHT;0;0;946;3;360;174;174;189;3;true;true;true;false;103;107;103;26;LEFT;LEFT;RIGHT;LEFT;1293;220;4;false;
RIGHT;0;0;947;3;360;175;175;189;3;true;true;true;false;105;109;103;26;LEFT;LEFT;RIGHT;LEFT;1293;220;4;false;
DOWN;0;0;948;3;360;176;176;189;3;true;true;true;false;106;110;102;26;LEFT;RIGHT;RIGHT;LEFT;1293;220;4;true;
DOWN;0;0;1030;3;360;177;177;189;3;true;true;true;false;108;112;104;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1036;3;360;178;178;189;3;true;true;true;false;109;113;105;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1042;3;360;179;179;189;3;true;true;true;false;111;115;107;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1048;3;360;180;180;189;3;true;true;true;false;112;116;108;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1054;3;360;181;181;189;3;true;true;true;false;114;118;110;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1060;3;360;182;182;189;3;true;true;true;false;115;119;111;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1066;3;360;183;183;189;3;true;true;true;false;117;121;113;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1072;3;360;184;184;189;3;true;true;true;false;118;122;114;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1078;3;360;185;185;189;3;true;true;true;false;120;124;116;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1084;3;360;186;186;189;3;true;true;true;false;121;125;117;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1090;3;360;187;187;189;3;true;true;true;false;123;127;119;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1096;3;360;188;188;189;3;true;true;true;false;124;128;120;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1126;3;360;189;189;189;3;true;true;true;false;126;130;122;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1132;3;360;190;190;189;3;true;true;true;false;127;131;123;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1138;3;360;191;191;189;3;true;true;true;false;129;133;125;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1144;3;360;192;192;189;3;true;true;true;false;130;134;126;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1150;3;360;193;193;189;3;true;true;true;false;132;136;128;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1156;3;360;194;194;189;3;true;true;true;false;133;137;129;26;UP;UP;UP;UP;1293;220;4;false;
DOWN;0;0;1162;3;360;195;195;189;3;true;true;true;false;135;139;131;26;UP;UP;UP;UP;1293;220;4;false;
RIGHT;0;0;1168;3;360;196;196;189;3;true;true;true;false;136;140;132;26;UP;UP;UP;UP;1293;220;4;false;
RIGHT;0;0;1174;3;360;197;197;189;3;true;true;true;false;138;142;134;26;UP;UP;UP;UP;1293;220;4;false;
RIGHT;0;0;1180;3;360;198;198;189;3;true;true;true;false;139;143;135;26;UP;UP;UP;UP;1293;220;4;false;
RIGHT;0;0;1186;3;360;199;199;189;3;true;true;true;false;141;145;137;26;UP;UP;UP;UP;1293;220;4;false;
RIGHT;0;0;1211;3;360;200;200;189;3;true;true;true;false;142;146;138;26;UP;UP;UP;UP;1293;220;4;true;
RIGHT;0;0;1212;3;360;201;201;189;3;true;true;true;false;144;148;140;26;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
RIGHT;0;0;1213;3;360;202;202;189;3;true;true;true;false;145;149;141;26;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
RIGHT;0;0;1214;3;360;203;203;189;3;true;true;true;false;147;151;143;26;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
RIGHT;0;0;1215;3;370;204;204;188;3;true;true;true;false;148;152;144;26;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
RIGHT;0;0;1216;3;370;205;205;188;3;true;true;true;false;148;154;146;26;LEFT;LEFT;LEFT;LEFT;1293;220;4;false;
